area,target0,target1,target2,target3,target4,maxConfidence
建材及幕墙,5165建材批发,516矿产品、建材及化工产品批发,5013建筑幕墙装饰和装修,2442专项运动器材及配件制造,246游艺器材及娱乐用品制造,0.286
旅游服务业,72商务服务业,80居民服务业,82其他服务业,7282旅游会展服务,729其他商务服务业,0.5
电子产品制造,251精炼石油产品制造,266专用化学产品制造,2663林产化学产品制造,268日用化学产品制造,5279其他电子产品零售,0.5
能源行业,9522行业性团体,3612新能源车整车制造,7471能源矿产地质勘查,7515新能源技术推广服务,4832海洋能源开发利用工程建筑,0.286
工业制造及销售,2643工业颜料制造,3491工业机器人制造,C制造业,3914工业控制计算机及系统制造,4011工业自动控制系统装置制造,0.364
餐饮服务,6241餐饮配送服务,623饮料及冷饮服务,62餐饮业,6239其他饮料及冷饮服务,6020快递服务,0.5
出租车及装卸运输,5413出租车客运,5438搬家运输,5910装卸搬运,7124图书出租,53铁路运输业,0.364
代建服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
房地产业房屋租赁,70房地产业,70房地产业,7090其他房地产业,7040房地产租赁经营,7010房地产开发经营,0.6
债券业务利息收入,,,,,,0
重有色金属冶炼业,321常用有色金属冶炼,3219其他常用有色金属冶炼,32有色金属冶炼和压延加工业 ,322贵金属冶炼,3232稀土金属冶炼,0.714
合并抵消,,,,,,0
电子信息产业,70房地产业,70房地产业,2423电子乐器制造,397电子器件制造,3982电子电路制造,0.25
工程劳务,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.25
物业管理租金收入,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.6
交通运输业务,541城市公共交通运输,5419其他城市公共交通运输 ,G交通运输、仓储和邮政业,5438搬家运输,53铁路运输业,0.6
运输物流,5438搬家运输,53铁路运输业,54道路运输业,55水上运输业,56航空运输业 ,0.333
贷款业务,6635小额贷款公司服务 ,1农业,11谷物种植,111稻谷种植,112小麦种植,0.25
债券投资,6720公开募集证券投资基金,6732天使投资,673非公开募集证券投资基金,6739其他非公开募集证券投资基金,6731创业投资基金,0.333
房地产业商品房销售,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.545
集团内行业间相互抵,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.167
石料销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
轨道交通,5412城市轨道交通,3720城市轨道交通设备制造,4814城市轨道交通工程建筑,5632空中交通管理,541城市公共交通运输,0.75
污泥处理,4630海水淡化处理,532畜禽粪污处理活动,4620污水处理及其再生利用,4210金属废料和碎屑加工处理,6550信息处理和存储支持服务,0.25
钟表销售,5236钟表、眼镜零售,5267机动车充电销售,4030钟表与计时仪器制造,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,0.222
饮食服务业务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
装卸运输业,53铁路运输业,54道路运输业,55水上运输业,56航空运输业 ,57管道运输业 ,0.5
拆借、存放等同业业务,,,,,,0
林木,211林木育种,212林木育苗,21林木育种和育苗,1农业,11谷物种植,0.5
冲孔镀镍镉收入,,,,,,0
房屋租赁业,71租赁业,7111汽车租赁,47房屋建筑业,4710住宅房屋建筑,6631融资租赁服务,0.667
混泥土销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
酒店服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
工程咨询经营业务,7244健康咨询,7245环保咨询,7246体育咨询,7113建筑工程机械与设备经营租赁,724咨询与调查,0.25
钟表制造业,C制造业,40仪器仪表制造业,14食品制造业,21家具制造业 ,27医药制造业 ,0.667
房屋租赁管理业务,71租赁业,7020物业管理,7111汽车租赁,7840绿化管理,47房屋建筑业,0.286
商贸旅业,,,,,,0
贷款,6635小额贷款公司服务 ,1农业,11谷物种植,111稻谷种植,112小麦种植,0.25
处置投资性房地产,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.4
市场配套服务,67资本市场服务,671证券市场服务,674期货市场服务,7223市场管理服务,6711证券市场管理服务,0.4
电子信息业,2423电子乐器制造,397电子器件制造,3982电子电路制造,6940金融信息服务,3976光电子器件制造,0.222
混凝土销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
酒店物业,7020物业管理,6121经济型连锁酒店,1农业,11谷物种植,111稻谷种植,0.333
销售热力业务,4430热力生产和供应,5267机动车充电销售,44电力、热力生产和供应业,D电力、热力、燃气及水生产和供应业,526汽车、摩托车、零配件和燃料及其他动力销售,0.222
餐饮娱乐业及其他,90娱乐业,9090其他娱乐业,R文化、体育和娱乐业,62餐饮业,629其他餐饮业,0.571
房屋租赁和物业管理,7020物业管理,L租赁和商务服务业,71租赁业,7111汽车租赁,7840绿化管理,0.545
金融企业往来,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.286
各业务分部间相互抵销,,,,,,0
林木收入,211林木育种,212林木育苗,21林木育种和育苗,1农业,11谷物种植,0.333
农产品批发市场经营,5115林业产品批发,5117渔业产品批发,5174五金产品批发,5119其他农牧产品批发,5169其他化工产品批发,0.462
电子物流业,2423电子乐器制造,397电子器件制造,3982电子电路制造,3976光电子器件制造,8625电子出版物出版,0.222
建材业,5165建材批发,516矿产品、建材及化工产品批发,1农业,11谷物种植,111稻谷种植,0.4
酒店服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.5
销售电力业务,441电力生产,4420电力供应,4419其他电力生产,487电力工程施工,5267机动车充电销售,0.333
钟表零售业,52零售业,F批发和零售业,5236钟表、眼镜零售,5299其他未列明零售业,521综合零售,0.667
贷款(含贴现),6635小额贷款公司服务 ,1农业,11谷物种植,111稻谷种植,112小麦种植,0.154
处置四会土地,79土地管理业,7486土地规划服务,7910土地整治服务,7930土地登记服务,7920土地调查评估服务,0.222
物业服务收入,7261公共就业服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.4
物业及租金收入,7020物业管理,51农业专业及辅助性活动,52林业专业及辅助性活动,53畜牧专业及辅助性活动,54渔业专业及辅助性活动,0.222
农产品加工生产,136水产品加工,1369其他水产品加工,514农产品初加工活动,1393蛋品加工,1353肉制品及副产品加工,0.6
电子商贸业,2423电子乐器制造,397电子器件制造,3982电子电路制造,3976光电子器件制造,8625电子出版物出版,0.222
2.建材业,5165建材批发,516矿产品、建材及化工产品批发,1农业,11谷物种植,111稻谷种植,0.286
租赁业,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,1
销售燃油业务,5265机动车燃油零售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,0.222
停车场,3437机械式停车设备制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
餐饮业,62餐饮业,629其他餐饮业,H住宿和餐饮业,6299其他未列明餐饮业,6241餐饮配送服务,1
贴现,,,,,,0
酒店餐饮收入,62餐饮业,629其他餐饮业,6241餐饮配送服务,H住宿和餐饮业,6121经济型连锁酒店,0.286
零售商业,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.4
公司内部行业抵销,6911信托公司,9522行业性团体,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,0.2
房地产及租赁业,7040房地产租赁经营,71租赁业,70房地产业,70房地产业,7090其他房地产业,0.5
1、房地产业,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.75
商品贸易,5181贸易代理,518贸易经纪与代理,5189其他贸易经纪与代理,1农业,11谷物种植,0.333
蒸汽销售收入,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.182
房屋租赁和管理,L租赁和商务服务业,71租赁业,7020物业管理,7111汽车租赁,7840绿化管理,0.308
工程承包,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.25
其他（补充）,9420补充保险,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.5
娱乐服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.5
减：公司内部行业抵销,6911信托公司,9522行业性团体,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,0.167
电子工程,2423电子乐器制造,397电子器件制造,3982电子电路制造,4811铁路工程建筑,4812公路工程建筑,0.25
关联交易,6712证券经纪交易服务,7213资源与产权交易服务,1农业,11谷物种植,111稻谷种植,0.2
发包及租金收入,,,,,,0
运输业务收入,5438搬家运输,53铁路运输业,54道路运输业,55水上运输业,56航空运输业 ,0.333
抵消,,,,,,0
热力生产,441电力生产,4430热力生产和供应,4419其他电力生产,44电力、热力生产和供应业,2740中成药生产,0.667
物业服务,7261公共就业服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.5
商业类,6840商业养老金,6621商业银行服务,7222商业综合体管理服务,3594商业、饮食、服务专用设备制造,1农业,0.333
施工,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,486节能环保工程施工,0.333
农产品加工生产养殖,136水产品加工,1369其他水产品加工,514农产品初加工活动,1353肉制品及副产品加工,41水产养殖,0.5
燃气销售收入,5266机动车燃气零售,5267机动车充电销售,45燃气生产和供应业,45燃气生产和供应业,4520生物质燃气生产和供应业,0.182
石料收入,,,,,,0
电子信息制造业,C制造业,14食品制造业,21家具制造业 ,27医药制造业 ,36汽车制造业,0.5
房屋出租,7124图书出租,47房屋建筑业,5413出租车客运,7130日用品出租,4710住宅房屋建筑,0.333
商业销售,6840商业养老金,6621商业银行服务,5267机动车充电销售,7222商业综合体管理服务,3594商业、饮食、服务专用设备制造,0.286
供油业务,,,,,,0
房地产开发及相关资产经营业务,7010房地产开发经营,7040房地产租赁经营,70房地产业,70房地产业,7090其他房地产业,0.588
物业管理类,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.857
酒店餐饮,62餐饮业,629其他餐饮业,6241餐饮配送服务,H住宿和餐饮业,6121经济型连锁酒店,0.4
减:公司内部行业抵消,6911信托公司,9522行业性团体,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,0.167
电力销售收入,441电力生产,4420电力供应,4419其他电力生产,487电力工程施工,5267机动车充电销售,0.25
运输业,53铁路运输业,54道路运输业,55水上运输业,56航空运输业 ,57管道运输业 ,0.667
公司内部行业间互相抵销,6911信托公司,9522行业性团体,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,0.154
其他销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.286
其他收入,,,,,,0
工程承包经营业务,7113建筑工程机械与设备经营租赁,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,0.235
